state,year,cases
Maryland,2001,262
Maryland,2002,306
Maryland,2003,269
Maryland,2004,313
Maryland,2005,283
Maryland,2006,252
Maryland,2007,271
Maryland,2008,278
Maryland,2009,218
Maryland,2010,220
Maryland,2011,232
Maryland,2012,224
Maryland,2013,175
Maryland,2014,198
Maryland,2015,176
Maryland,2016,220
Massachusetts,1993,366
Massachusetts,1994,329
Massachusetts,1995,330
Massachusetts,1996,262
Massachusetts,1997,268
Massachusetts,1998,280
Massachusetts,1999,270
Massachusetts,2000,285
Massachusetts,2001,270
Massachusetts,2002,271
Massachusetts,2003,261
Massachusetts,2004,283
Massachusetts,2005,266
Massachusetts,2006,259
Massachusetts,2007,224
Massachusetts,2008,261
Massachusetts,2009,240
Massachusetts,2010,222
Massachusetts,2011,195
Massachusetts,2012,216
Massachusetts,2013,201
Massachusetts,2014,199
Massachusetts,2015,192
Massachusetts,2016,190
Michigan,1993,480
Michigan,1994,461
Michigan,1995,424
Michigan,1996,440
Michigan,1997,372
Michigan,1998,383
Michigan,1999,349
Michigan,2000,287
Michigan,2001,329
Michigan,2002,315
Michigan,2003,243
Michigan,2004,272
Michigan,2005,245
Michigan,2006,221
Michigan,2007,226
Michigan,2008,188
Michigan,2009,144
Michigan,2010,182
Michigan,2011,169
Michigan,2012,150
Michigan,2013,141
Michigan,2014,105
Michigan,2015,131
Michigan,2016,133
Minnesota,1993,141
Minnesota,1994,140
Minnesota,1995,156
Minnesota,1996,131
Minnesota,1997,161
Minnesota,1998,161
Minnesota,1999,201
Minnesota,2000,178
Minnesota,2001,239
Minnesota,2002,237
Minnesota,2003,214
Minnesota,2004,199
Minnesota,2005,199
Minnesota,2006,217
Minnesota,2007,238
Minnesota,2008,211
Minnesota,2009,161
Minnesota,2010,135
Minnesota,2011,137
Minnesota,2012,162
Minnesota,2013,151
Minnesota,2014,147
Minnesota,2015,150
Minnesota,2016,168
Mississippi,1993,279
Mississippi,1994,278
Mississippi,1995,271
Mississippi,1996,250
Mississippi,1997,245
Mississippi,1998,225
Mississippi,1999,215
Mississippi,2000,173
Mississippi,2001,154
Mississippi,2002,134
Mississippi,2003,129
Mississippi,2004,119
Mississippi,2005,103
Mississippi,2006,115
Mississippi,2007,137
Mississippi,2008,117
Mississippi,2009,121
Mississippi,2010,116
Mississippi,2011,91
Mississippi,2012,81
Mississippi,2013,65
Mississippi,2014,74
Mississippi,2015,73
Mississippi,2016,61
Missouri,1993,256
Missouri,1994,259
Missouri,1995,244
Missouri,1996,224
Missouri,1997,248
Missouri,1998,184
Missouri,1999,208
Missouri,2000,210
Missouri,2001,156
Missouri,2002,136
Missouri,2003,130
Missouri,2004,127
Missouri,2005,108
Missouri,2006,104
Missouri,2007,118
Missouri,2008,107
Missouri,2009,79
Missouri,2010,107
Missouri,2011,97
Missouri,2012,89
Missouri,2013,104
Missouri,2014,79
Missouri,2015,92
Missouri,2016,101
Montana,1993,22
Montana,1994,25
Montana,1995,21
Montana,1996,19
Montana,1997,18
Montana,1998,20
Montana,1999,14
Montana,2000,21
Montana,2001,20
Montana,2002,12
Montana,2003,7
Montana,2004,15
Montana,2005,10
Montana,2006,13
Montana,2007,11
Montana,2008,9
Montana,2009,8
Montana,2010,6
Montana,2011,8
Montana,2012,5
Montana,2013,6
Montana,2014,6
Montana,2015,9
Montana,2016,4
Nebraska,1993,23
Nebraska,1994,22
Nebraska,1995,24
Nebraska,1996,22
Nebraska,1997,22
Nebraska,1998,31
Nebraska,1999,18
Nebraska,2000,24
Nebraska,2001,40
Nebraska,2002,28
Nebraska,2003,28
Nebraska,2004,39
Nebraska,2005,35
Nebraska,2006,25
Nebraska,2007,25
Nebraska,2008,33
Nebraska,2009,32
Nebraska,2010,27
Nebraska,2011,23
Nebraska,2012,22
Nebraska,2013,21
Nebraska,2014,38
Nebraska,2015,33
Nebraska,2016,28
Nevada,1993,101
Nevada,1994,125
Nevada,1995,116
Nevada,1996,137
Nevada,1997,112
Nevada,1998,128
Nevada,1999,93
Nevada,2000,96
Nevada,2001,96
Nevada,2002,85
Nevada,2003,106
Nevada,2004,95
Nevada,2005,112
Nevada,2006,101
Nevada,2007,102
Nevada,2008,102
Nevada,2009,106
Nevada,2010,114
Nevada,2011,96
Nevada,2012,84
Nevada,2013,91
Nevada,2014,74
Nevada,2015,85
Nevada,2016,56
NewHampshire,1993,26
NewHampshire,1994,17
NewHampshire,1995,23
NewHampshire,1996,21
NewHampshire,1997,17
NewHampshire,1998,14
NewHampshire,1999,19
NewHampshire,2000,22
NewHampshire,2001,20
NewHampshire,2002,19
NewHampshire,2003,15
NewHampshire,2004,24
NewHampshire,2005,4
NewHampshire,2006,17
NewHampshire,2007,11
NewHampshire,2008,19
NewHampshire,2009,16
NewHampshire,2010,10
NewHampshire,2011,11
NewHampshire,2012,9
NewHampshire,2013,15
NewHampshire,2014,11
NewHampshire,2015,13
NewHampshire,2016,15
NewJersey,1993,911
NewJersey,1994,853
NewJersey,1995,848
NewJersey,1996,820
NewJersey,1997,718
NewJersey,1998,639
NewJersey,1999,570
NewJersey,2000,565
NewJersey,2001,530
NewJersey,2002,530
NewJersey,2003,495
NewJersey,2004,482
NewJersey,2005,485
NewJersey,2006,508
NewJersey,2007,467
NewJersey,2008,422
NewJersey,2009,405
NewJersey,2010,404
NewJersey,2011,331
NewJersey,2012,302
NewJersey,2013,319
NewJersey,2014,307
NewJersey,2015,326
NewJersey,2016,294
NewMexico,1993,73
NewMexico,1994,82
NewMexico,1995,81
NewMexico,1996,89
NewMexico,1997,72
NewMexico,1998,67
NewMexico,1999,64
NewMexico,2000,46
NewMexico,2001,54
NewMexico,2002,57
NewMexico,2003,49
NewMexico,2004,42
NewMexico,2005,39
NewMexico,2006,48
NewMexico,2007,51
NewMexico,2008,59
NewMexico,2009,48
NewMexico,2010,50
NewMexico,2011,49
NewMexico,2012,40
NewMexico,2013,50
NewMexico,2014,50
NewMexico,2015,47
NewMexico,2016,39
NewYork,1993,3864
NewYork,1994,3575
NewYork,1995,3018
NewYork,1996,2545
NewYork,1997,2230
NewYork,1998,1974
NewYork,1999,1824
NewYork,2000,1718
NewYork,2001,1645
NewYork,2002,1418
NewYork,2003,1471
NewYork,2004,1359
NewYork,2005,1283
NewYork,2006,1263
NewYork,2007,1169
NewYork,2008,1190
NewYork,2009,1003
NewYork,2010,948
NewYork,2011,904
NewYork,2012,865
NewYork,2013,865
NewYork,2014,784
NewYork,2015,763
NewYork,2016,768
NorthCarolina,1993,594
NorthCarolina,1994,565
NorthCarolina,1995,518
NorthCarolina,1996,554
NorthCarolina,1997,463
NorthCarolina,1998,498
NorthCarolina,1999,488
NorthCarolina,2000,447
NorthCarolina,2001,397
NorthCarolina,2002,434
NorthCarolina,2003,374
NorthCarolina,2004,381
NorthCarolina,2005,329
NorthCarolina,2006,375
NorthCarolina,2007,345
NorthCarolina,2008,335
NorthCarolina,2009,250
NorthCarolina,2010,296
NorthCarolina,2011,244
NorthCarolina,2012,211
NorthCarolina,2013,216
NorthCarolina,2014,195
NorthCarolina,2015,199
NorthCarolina,2016,219
NorthDakota,1993,7
NorthDakota,1994,10
NorthDakota,1995,5
NorthDakota,1996,8
NorthDakota,1997,12
NorthDakota,1998,10
NorthDakota,1999,7
NorthDakota,2000,5
NorthDakota,2001,6
NorthDakota,2002,6
NorthDakota,2003,6
NorthDakota,2004,4
NorthDakota,2005,6
NorthDakota,2006,10
NorthDakota,2007,7
NorthDakota,2008,0
NorthDakota,2009,5
NorthDakota,2010,9
NorthDakota,2011,7
NorthDakota,2012,26
NorthDakota,2013,12
NorthDakota,2014,15
NorthDakota,2015,9
NorthDakota,2016,22
Ohio,1993,308
Ohio,1994,345
Ohio,1995,280
Ohio,1996,301
Ohio,1997,286
Ohio,1998,230
Ohio,1999,317
Ohio,2000,338
Ohio,2001,306
Ohio,2002,257
Ohio,2003,229
Ohio,2004,219
Ohio,2005,260
Ohio,2006,239
Ohio,2007,251
Ohio,2008,213
Ohio,2009,180
Ohio,2010,190
Ohio,2011,145
Ohio,2012,149
Ohio,2013,148
Ohio,2014,156
Ohio,2015,143
Ohio,2016,140
Oklahoma,1993,208
Oklahoma,1994,260
Oklahoma,1995,236
Oklahoma,1996,199
Oklahoma,1997,211
Oklahoma,1998,197
Oklahoma,1999,208
Oklahoma,2000,153
Oklahoma,2001,193
Oklahoma,2002,190
Oklahoma,2003,163
Oklahoma,2004,178
Oklahoma,2005,144
Oklahoma,2006,144
Oklahoma,2007,149
Oklahoma,2008,100
Oklahoma,2009,102
Oklahoma,2010,86
Oklahoma,2011,94
Oklahoma,2012,88
Oklahoma,2013,70
Oklahoma,2014,59
Oklahoma,2015,67
Oklahoma,2016,78
Oregon,1993,153
Oregon,1994,165
Oregon,1995,156
Oregon,1996,188
Oregon,1997,161
Oregon,1998,156
Oregon,1999,123
Oregon,2000,119
Oregon,2001,123
Oregon,2002,111
Oregon,2003,106
Oregon,2004,106
Oregon,2005,103
Oregon,2006,81
Oregon,2007,94
Oregon,2008,75
Oregon,2009,89
Oregon,2010,87
Oregon,2011,74
Oregon,2012,61
Oregon,2013,73
Oregon,2014,77
Oregon,2015,76
Oregon,2016,70
Pennsylvania,1993,741
Pennsylvania,1994,616
Pennsylvania,1995,673
Pennsylvania,1996,580
Pennsylvania,1997,524
Pennsylvania,1998,447
Pennsylvania,1999,453
Pennsylvania,2000,383
Pennsylvania,2001,349
Pennsylvania,2002,353
Pennsylvania,2003,336
Pennsylvania,2004,328
Pennsylvania,2005,320
Pennsylvania,2006,337
Pennsylvania,2007,275
Pennsylvania,2008,387
Pennsylvania,2009,236
Pennsylvania,2010,238
Pennsylvania,2011,260
Pennsylvania,2012,234
Pennsylvania,2013,214
Pennsylvania,2014,208
Pennsylvania,2015,200
Pennsylvania,2016,173
PuertoRico,1993,257
PuertoRico,1994,274
PuertoRico,1995,262
PuertoRico,1996,222
PuertoRico,1997,257
PuertoRico,1998,201
PuertoRico,1999,200
PuertoRico,2000,174
PuertoRico,2001,121
PuertoRico,2002,129
PuertoRico,2003,115
PuertoRico,2004,123
PuertoRico,2005,113
PuertoRico,2006,112
PuertoRico,2007,98
PuertoRico,2008,95
PuertoRico,2009,63
PuertoRico,2010,80
PuertoRico,2011,50
PuertoRico,2012,71
PuertoRico,2013,49
PuertoRico,2014,44
PuertoRico,2015,52
PuertoRico,2016,69
RhodeIsland,1993,65
RhodeIsland,1994,56
RhodeIsland,1995,50
RhodeIsland,1996,35
RhodeIsland,1997,40
RhodeIsland,1998,63
RhodeIsland,1999,53
RhodeIsland,2000,49
RhodeIsland,2001,60
RhodeIsland,2002,49
RhodeIsland,2003,46
RhodeIsland,2004,51
RhodeIsland,2005,47
RhodeIsland,2006,26
RhodeIsland,2007,45
RhodeIsland,2008,36
RhodeIsland,2009,24
RhodeIsland,2010,26
RhodeIsland,2011,27
RhodeIsland,2012,23
RhodeIsland,2013,27
RhodeIsland,2014,21
RhodeIsland,2015,30
RhodeIsland,2016,12
SouthCarolina,1993,401
SouthCarolina,1994,387
SouthCarolina,1995,334
SouthCarolina,1996,348
SouthCarolina,1997,328
SouthCarolina,1998,286
SouthCarolina,1999,315
SouthCarolina,2000,286
SouthCarolina,2001,263
SouthCarolina,2002,256
SouthCarolina,2003,254
SouthCarolina,2004,233
SouthCarolina,2005,261
SouthCarolina,2006,222
SouthCarolina,2007,218
SouthCarolina,2008,188
SouthCarolina,2009,164
SouthCarolina,2010,153
SouthCarolina,2011,140
SouthCarolina,2012,122
SouthCarolina,2013,112
SouthCarolina,2014,79
SouthCarolina,2015,104
SouthCarolina,2016,102
SouthDakota,1993,16
SouthDakota,1994,28
SouthDakota,1995,28
SouthDakota,1996,19
SouthDakota,1997,19
SouthDakota,1998,23
SouthDakota,1999,21
SouthDakota,2000,16
SouthDakota,2001,13
SouthDakota,2002,13
SouthDakota,2003,20
SouthDakota,2004,11
SouthDakota,2005,16
SouthDakota,2006,14
SouthDakota,2007,13
SouthDakota,2008,16
SouthDakota,2009,18
SouthDakota,2010,15
SouthDakota,2011,15
SouthDakota,2012,19
SouthDakota,2013,9
SouthDakota,2014,8
SouthDakota,2015,17
SouthDakota,2016,12
Tennessee,1993,554
Tennessee,1994,519
Tennessee,1995,465
Tennessee,1996,504
Tennessee,1997,468
Tennessee,1998,439
Tennessee,1999,382
Tennessee,2000,382
Tennessee,2001,313
Tennessee,2002,308
Tennessee,2003,286
Tennessee,2004,278
Tennessee,2005,299
Tennessee,2006,277
Tennessee,2007,235
Tennessee,2008,282
Tennessee,2009,202
Tennessee,2010,193
Tennessee,2011,156
Tennessee,2012,163
Tennessee,2013,143
Tennessee,2014,151
Tennessee,2015,131
Tennessee,2016,103
Texas,1993,2370
Texas,1994,2511
Texas,1995,2340
Texas,1996,2066
Texas,1997,1980
Texas,1998,1802
Texas,1999,1639
Texas,2000,1496
Texas,2001,1631
Texas,2002,1538
Texas,2003,1579
Texas,2004,1670
Texas,2005,1525
Texas,2006,1566
Texas,2007,1504
Texas,2008,1500
Texas,2009,1493
Texas,2010,1380
Texas,2011,1318
Texas,2012,1233
Texas,2013,1221
Texas,2014,1269
Texas,2015,1334
Texas,2016,1250
Utah,1993,47
Utah,1994,56
Utah,1995,48
Utah,1996,58
Utah,1997,36
Utah,1998,52
Utah,1999,40
Utah,2000,49
Utah,2001,35
Utah,2002,31
Utah,2003,39
Utah,2004,36
Utah,2005,29
Utah,2006,34
Utah,2007,39
Utah,2008,27
Utah,2009,37
Utah,2010,20
Utah,2011,34
Utah,2012,37
Utah,2013,33
Utah,2014,31
Utah,2015,37
Utah,2016,20
Vermont,1993,7
Vermont,1994,11
Vermont,1995,4
Vermont,1996,4
Vermont,1997,6
Vermont,1998,5
Vermont,1999,3
Vermont,2000,4
Vermont,2001,7
Vermont,2002,8
Vermont,2003,8
Vermont,2004,6
Vermont,2005,8
Vermont,2006,8
Vermont,2007,3
Vermont,2008,6
Vermont,2009,6
Vermont,2010,5
Vermont,2011,8
Vermont,2012,4
Vermont,2013,5
Vermont,2014,2
Vermont,2015,7
Vermont,2016,5
Virginia,1993,456
Virginia,1994,370
Virginia,1995,356
Virginia,1996,348
Virginia,1997,349
Virginia,1998,340
Virginia,1999,334
Virginia,2000,292
Virginia,2001,306
Virginia,2002,315
Virginia,2003,332
Virginia,2004,329
Virginia,2005,355
Virginia,2006,332
Virginia,2007,309
Virginia,2008,292
Virginia,2009,271
Virginia,2010,268
Virginia,2011,221
Virginia,2012,235
Virginia,2013,179
Virginia,2014,198
Virginia,2015,212
Virginia,2016,205
Washington,1993,283
Washington,1994,260
Washington,1995,277
Washington,1996,283
Washington,1997,305
Washington,1998,265
Washington,1999,258
Washington,2000,258
Washington,2001,261
Washington,2002,252
Washington,2003,250
Washington,2004,245
Washington,2005,255
Washington,2006,262
Washington,2007,291
Washington,2008,228
Washington,2009,256
Washington,2010,239
Washington,2011,199
Washington,2012,185
Washington,2013,210
Washington,2014,194
Washington,2015,207
Washington,2016,205
WestVirginia,1993,75
WestVirginia,1994,80
WestVirginia,1995,71
WestVirginia,1996,57
WestVirginia,1997,54
WestVirginia,1998,42
WestVirginia,1999,42
WestVirginia,2000,33
WestVirginia,2001,32
WestVirginia,2002,30
WestVirginia,2003,21
WestVirginia,2004,24
WestVirginia,2005,28
WestVirginia,2006,22
WestVirginia,2007,24
WestVirginia,2008,28
WestVirginia,2009,19
WestVirginia,2010,15
WestVirginia,2011,13
WestVirginia,2012,8
WestVirginia,2013,13
WestVirginia,2014,13
WestVirginia,2015,10
WestVirginia,2016,14
Wisconsin,1993,102
Wisconsin,1994,110
Wisconsin,1995,119
Wisconsin,1996,114
Wisconsin,1997,130
Wisconsin,1998,109
Wisconsin,1999,110
Wisconsin,2000,92
Wisconsin,2001,86
Wisconsin,2002,78
Wisconsin,2003,66
Wisconsin,2004,95
Wisconsin,2005,67
Wisconsin,2006,74
Wisconsin,2007,70
Wisconsin,2008,68
Wisconsin,2009,67
Wisconsin,2010,55
Wisconsin,2011,70
Wisconsin,2012,71
Wisconsin,2013,50
Wisconsin,2014,48
Wisconsin,2015,69
Wisconsin,2016,40
Wyoming,1993,7
Wyoming,1994,12
Wyoming,1995,5
Wyoming,1996,7
Wyoming,1997,2
Wyoming,1998,4
Wyoming,1999,3
Wyoming,2000,4
Wyoming,2001,3
Wyoming,2002,3
Wyoming,2003,4
Wyoming,2004,5
Wyoming,2005,0
Wyoming,2006,4
Wyoming,2007,2
Wyoming,2008,5
Wyoming,2009,2
Wyoming,2010,7
Wyoming,2011,4
Wyoming,2012,3
Wyoming,2013,0
Wyoming,2014,2
Wyoming,2015,4
Wyoming,2016,1
